visit id,member id,visit date,check_in_time,check_out_time
1,201,2024-01-01,6:10:00,7:05:00
2,541,2024-01-01,5:42:00,6:27:00
3,169,2024-01-01,9:39:00,10:34:00
4,374,2024-01-01,6:05:00,6:50:00
5,52,2024-01-01,6:12:00,6:42:00
6,83,2024-01-01,8:54:00,9:49:00
7,215,2024-01-01,8:56:00,9:26:00
8,420,2024-01-01,7:22:00,7:52:00
9,51,2024-01-01,7:31:00,7:56:00
10,170,2024-01-01,6:26:00,7:21:00
11,464,2024-01-01,7:55:00,8:40:00
12,61,2024-01-01,6:45:00,7:15:00
13,591,2024-01-01,8:32:00,8:57:00
14,338,2024-01-01,5:42:00,6:17:00
15,305,2024-01-01,6:31:00,6:56:00
16,360,2024-01-01,8:08:00,8:53:00
17,526,2024-01-01,6:55:00,7:30:00
18,151,2024-01-01,5:36:00,6:11:00
19,603,2024-01-01,9:47:00,10:42:00
20,53,2024-01-01,9:30:00,10:15:00
21,361,2024-01-01,9:32:00,10:17:00
22,462,2024-01-01,7:04:00,7:49:00
23,91,2024-01-01,6:30:00,7:05:00
24,394,2024-01-01,6:45:00,7:10:00
25,626,2024-01-01,6:23:00,7:08:00
26,123,2024-01-01,9:08:00,10:03:00
27,234,2024-01-01,6:01:00,6:36:00
28,52,2024-01-01,8:04:00,8:49:00
29,444,2024-01-01,9:11:00,10:06:00
30,319,2024-01-01,9:01:00,9:31:00
31,444,2024-01-02,8:03:00,8:38:00
32,165,2024-01-02,8:18:00,8:43:00
33,44,2024-01-02,7:36:00,8:31:00
34,533,2024-01-02,7:38:00,8:23:00
35,51,2024-01-02,10:00:00,10:25:00
36,617,2024-01-02,7:45:00,8:20:00
37,517,2024-01-02,9:37:00,10:22:00
38,38,2024-01-02,6:03:00,6:48:00
39,546,2024-01-02,7:22:00,8:07:00
40,382,2024-01-02,5:44:00,6:39:00
41,324,2024-01-02,5:28:00,6:13:00
42,306,2024-01-02,8:23:00,8:58:00
43,366,2024-01-02,9:55:00,10:50:00
44,61,2024-01-02,8:01:00,8:46:00
45,541,2024-01-02,7:12:00,7:57:00
46,432,2024-01-02,9:12:00,9:37:00
47,219,2024-01-02,7:49:00,8:14:00
48,134,2024-01-02,9:58:00,10:28:00
49,53,2024-01-02,6:11:00,6:36:00
50,469,2024-01-02,8:29:00,9:24:00
51,57,2024-01-02,7:28:00,7:53:00
52,157,2024-01-02,7:29:00,7:59:00
53,342,2024-01-02,6:29:00,7:14:00
54,347,2024-01-02,9:57:00,10:52:00
55,483,2024-01-02,5:24:00,6:09:00
56,43,2024-01-03,8:54:00,9:24:00
57,489,2024-01-03,5:54:00,6:29:00
58,191,2024-01-03,8:28:00,9:03:00
59,627,2024-01-03,7:33:00,8:08:00
60,478,2024-01-03,6:48:00,7:43:00
61,546,2024-01-03,9:22:00,10:17:00
62,628,2024-01-03,5:58:00,6:23:00
63,574,2024-01-03,8:12:00,8:57:00
64,179,2024-01-03,5:27:00,6:02:00
65,93,2024-01-03,5:31:00,5:56:00
66,417,2024-01-03,8:26:00,9:11:00
67,633,2024-01-03,7:53:00,8:23:00
68,592,2024-01-03,9:06:00,9:41:00
69,400,2024-01-03,7:22:00,7:57:00
70,269,2024-01-03,5:21:00,6:06:00
71,289,2024-01-03,8:58:00,9:33:00
72,262,2024-01-03,5:33:00,6:08:00
73,641,2024-01-03,8:20:00,8:55:00
74,169,2024-01-03,6:11:00,6:56:00
75,106,2024-01-03,8:21:00,8:51:00
76,525,2024-01-03,6:40:00,7:35:00
77,406,2024-01-03,9:00:00,9:45:00
78,592,2024-01-03,7:06:00,7:51:00
79,369,2024-01-03,6:31:00,7:16:00
80,247,2024-01-03,6:49:00,7:34:00
81,334,2024-01-03,6:03:00,6:28:00
82,25,2024-01-03,5:28:00,5:53:00
83,515,2024-01-03,6:49:00,7:19:00
84,623,2024-01-04,8:58:00,9:43:00
85,454,2024-01-04,7:58:00,8:33:00
86,97,2024-01-04,9:31:00,10:06:00
87,404,2024-01-04,6:42:00,7:17:00
88,332,2024-01-04,8:40:00,9:15:00
89,413,2024-01-04,7:55:00,8:25:00
90,591,2024-01-04,9:19:00,10:04:00
91,153,2024-01-04,9:19:00,9:54:00
92,387,2024-01-04,9:37:00,10:02:00
93,629,2024-01-04,8:34:00,9:29:00
94,119,2024-01-04,6:42:00,7:37:00
95,182,2024-01-04,8:03:00,8:28:00
96,547,2024-01-04,8:13:00,8:43:00
97,145,2024-01-04,8:39:00,9:34:00
98,591,2024-01-04,9:52:00,10:27:00
99,558,2024-01-04,8:31:00,9:06:00
100,492,2024-01-04,9:00:00,9:55:00
101,597,2024-01-04,6:34:00,7:29:00
102,275,2024-01-04,7:18:00,7:48:00
103,273,2024-01-04,8:02:00,8:27:00
104,180,2024-01-04,8:24:00,8:49:00
